site,Date.dd.mm.yyyy.,AOT_440,REFR.440.,REFR.676.,REFR.869.,REFR.1020.,REFI.440.,REFI.676.,REFI.869.,REFI.1020.,VolCon.F,VolMedianRad.F,StdDev.F,VolCon.C,VolMedianRad.C,StdDev.C,SSA676.T,SSA869.T,SSA1020.T,ASYM440.T,ASYM676.T,ASYM869.T,X.sphericity,sky_error,SSA440.T,ASYM1020.T,ASYM440.F,ASYM676.F,ASYM869.F,ASYM1020.F,ASYM440.C,ASYM676.C,ASYM869.C,ASYM1020.C
Beijing,2002/6/4,1.85107,1.4693,1.4889,1.505,1.5041,0.011156,0.005225,0.004491,0.004408,0.203,0.226,0.484,0.186,2.735,0.499,0.9547,0.9564,0.9536,0.73946,0.674674,0.629824,49.577374,4.345781,0.9218,0.608438,0.729048,0.657247,0.599501,0.562851,0.89598,0.809382,0.772779,0.760096
Beijing,2003/5/26,2.022869,1.4719,1.4599,1.4531,1.441,0.008819,0.0077,0.007001,0.006804,0.257,0.299,0.538,0.146,2.633,0.49,0.9434,0.9444,0.9416,0.738021,0.716183,0.690843,68.835481,1.551925,0.9323,0.674952,0.731051,0.707519,0.678882,0.65814,0.885187,0.831039,0.795426,0.780932
Beijing,2004/3/28,1.649536,1.5711,1.5763,1.5487,1.525,0.006266,0.002424,0.002989,0.003218,0.08,0.154,0.765,1.059,2.131,0.536,0.9462,0.9458,0.9475,0.748692,0.717068,0.720602,0.431255,3.948994,0.8615,0.723268,0.62,0.633655,0.628436,0.609918,0.816988,0.741231,0.737253,0.737562
Beijing,2004/4/28,2.324851,1.4605,1.4634,1.4606,1.4529,0.007603,0.004561,0.005845,0.006018,0.296,0.293,0.602,0.264,2.346,0.448,0.9574,0.9435,0.9402,0.748691,0.710955,0.692547,32.107846,2.812942,0.9332,0.683624,0.736806,0.696041,0.670889,0.6552,0.874608,0.803588,0.785099,0.774443
Beijing,2005/2/14,2.680532,1.4909,1.4636,1.4565,1.45,0.008542,0.003582,0.002997,0.002959,0.349,0.319,0.549,0.097,2.428,0.623,0.9743,0.9782,0.9776,0.732813,0.71207,0.687131,57.318348,3.623276,0.9391,0.671003,0.72914,0.708897,0.682828,0.664044,0.863406,0.779275,0.747809,0.743281
Beijing,2005/2/14,3.156836,1.5096,1.4798,1.4692,1.4616,0.007378,0.003566,0.002877,0.002634,0.411,0.319,0.56,0.102,2.52,0.634,0.9749,0.9798,0.9808,0.715134,0.700145,0.680739,64.797688,3.056998,0.9467,0.66723,0.711774,0.697136,0.6772,0.661943,0.853561,0.776405,0.741353,0.734439
Beijing,2005/5/14,1.541204,1.4599,1.4593,1.4624,1.4603,0.007723,0.003577,0.003042,0.003921,0.185,0.233,0.573,0.169,2.269,0.54,0.9633,0.9675,0.9573,0.732213,0.684791,0.661729,37.087479,1.216371,0.9358,0.655431,0.719617,0.665016,0.628355,0.605385,0.857602,0.780908,0.760675,0.763036
Beijing,2005/5/14,1.817758,1.4746,1.4565,1.45,1.4424,0.006357,0.003502,0.003321,0.003794,0.224,0.283,0.608,0.185,2.286,0.451,0.9657,0.966,0.96,0.738433,0.706971,0.685873,34.83607,2.444536,0.944,0.67679,0.727641,0.692812,0.665441,0.648515,0.861988,0.794977,0.76869,0.76242
Beijing,2005/5/15,1.68731,1.4668,1.455,1.4533,1.448,0.00801,0.004844,0.004368,0.005088,0.215,0.265,0.636,0.171,2.611,0.471,0.9538,0.9551,0.9465,0.733034,0.694553,0.673381,44.276523,1.369242,0.9342,0.666718,0.722184,0.677893,0.64955,0.634833,0.881726,0.813649,0.783477,0.777591
Beijing,2005/5/31,1.888427,1.5084,1.5256,1.522,1.5136,0.006835,0.003624,0.00272,0.002596,0.153,0.19,0.443,0.406,1.994,0.618,0.9553,0.9658,0.9675,0.725768,0.673452,0.659329,17.231191,2.748965,0.9291,0.661164,0.699427,0.61718,0.552714,0.504236,0.808535,0.752882,0.740506,0.740465
Beijing,2005/5/31,1.963797,1.456,1.4841,1.4884,1.4814,0.007577,0.003926,0.002783,0.002998,0.203,0.202,0.484,0.344,1.966,0.513,0.9542,0.9653,0.9624,0.739088,0.675467,0.651506,27.973047,2.135052,0.9271,0.649996,0.717212,0.633402,0.57757,0.540181,0.843868,0.770792,0.746122,0.745002
Beijing,2005/6/11,1.603728,1.4671,1.4607,1.4522,1.4446,0.007888,0.005131,0.004702,0.005133,0.204,0.294,0.586,0.2,2.891,0.415,0.9518,0.953,0.9466,0.740787,0.711834,0.69471,52.815708,2.496463,0.9309,0.685771,0.72892,0.696481,0.673758,0.657864,0.892974,0.829066,0.800643,0.792396
Beijing,2005/7/25,1.569246,1.5148,1.4698,1.4621,1.4566,0.006045,0.002913,0.002234,0.002165,0.184,0.278,0.542,0.091,2.809,0.522,0.9776,0.9805,0.9797,0.723746,0.709795,0.67914,20.566033,3.660589,0.9546,0.657767,0.71792,0.703186,0.668468,0.641297,0.866888,0.799443,0.771133,0.761907
Beijing,2005/8/27,1.628993,1.4938,1.474,1.4659,1.4615,0.008276,0.004717,0.003584,0.003309,0.183,0.229,0.545,0.111,3.328,0.502,0.9614,0.9637,0.9634,0.708188,0.664865,0.628558,98.991594,2.618795,0.9445,0.606299,0.70201,0.653696,0.609647,0.578532,0.893408,0.825707,0.787086,0.770199
Beijing,2006/3/19,1.562215,1.4726,1.5232,1.5378,1.5228,0.006785,0.003341,0.003721,0.003638,0.147,0.122,0.5,0.73,2.164,0.537,0.9336,0.9321,0.9376,0.705668,0.682579,0.690894,4.678136,3.248697,0.8839,0.701394,0.58578,0.501892,0.479068,0.468236,0.843214,0.766771,0.746389,0.740775
Beijing,2006/4/10,2.329352,1.5003,1.5128,1.5186,1.5135,0.005822,0.003412,0.004142,0.00462,0.175,0.226,0.552,0.795,1.918,0.514,0.9477,0.9428,0.9412,0.749989,0.708643,0.69701,9.063812,2.239319,0.9126,0.697363,0.70689,0.656243,0.619841,0.595113,0.824626,0.757126,0.742732,0.741047
Beijing,2006/5/16,1.899847,1.5627,1.539,1.5124,1.4872,0.003293,0.001782,0.001991,0.002148,0.068,0.136,0.865,1.469,2.098,0.503,0.9569,0.961,0.9626,0.753419,0.738065,0.738187,0.42986,4.060077,0.8988,0.741638,0.597009,0.663338,0.662822,0.646118,0.791281,0.748485,0.74494,0.747694
Beijing,2006/5/17,2.807797,1.4755,1.4833,1.48,1.4703,0.004743,0.002084,0.002685,0.002781,0.225,0.254,0.509,0.981,2.111,0.499,0.9665,0.9609,0.9615,0.766216,0.725191,0.71378,9.049827,1.760048,0.9275,0.712154,0.73366,0.686801,0.64858,0.619632,0.828785,0.765737,0.757426,0.756258
Beijing,2007/7/28,2.304882,1.5007,1.4841,1.4806,1.4656,0.001898,0.001999,0.002441,0.002492,0.306,0.335,0.528,0.087,2.525,0.568,0.986,0.9831,0.9821,0.723498,0.717154,0.695623,25.570575,4.80202,0.9839,0.683194,0.720561,0.71463,0.691936,0.677314,0.811645,0.772219,0.752731,0.750826
Beijing,2007/9/5,1.527974,1.4506,1.47,1.4898,1.4902,0.005101,0.003887,0.004855,0.00489,0.181,0.212,0.504,0.14,2.482,0.505,0.9634,0.9516,0.9475,0.731019,0.666095,0.623342,42.566871,2.996749,0.9586,0.604864,0.721687,0.647217,0.588565,0.553148,0.855898,0.795675,0.772403,0.760829
Beijing,2009/2/19,1.804017,1.5686,1.5746,1.5658,1.5495,0.003599,0.000908,0.000695,0.000695,0.118,0.21,0.63,1.044,2.671,0.517,0.9776,0.9845,0.9857,0.730524,0.695131,0.689589,3.815155,4.945044,0.9168,0.69193,0.655392,0.62586,0.611233,0.599854,0.821379,0.741384,0.723861,0.721376
Beijing,2009/2/19,1.878067,1.5554,1.5623,1.5556,1.5388,0.004099,0.001097,0.000924,0.000938,0.113,0.177,0.548,0.969,2.497,0.582,0.9758,0.9811,0.9823,0.726218,0.691609,0.688032,4.901709,4.205186,0.9182,0.692706,0.656252,0.604425,0.567735,0.53895,0.807958,0.739296,0.726654,0.7262
Beijing,2009/2/19,2.083894,1.5693,1.5644,1.5529,1.5323,0.005189,0.00154,0.001405,0.00144,0.14,0.178,0.52,0.811,2.517,0.64,0.9715,0.9749,0.9758,0.71031,0.677167,0.677041,6.522186,3.650497,0.9211,0.686526,0.658206,0.601172,0.557575,0.523881,0.804711,0.737731,0.730544,0.734442
Beijing,2009/4/13,2.164823,1.474,1.4632,1.4502,1.441,0.006704,0.005444,0.005895,0.005796,0.274,0.318,0.549,0.213,2.601,0.486,0.9545,0.9476,0.946,0.746625,0.724607,0.704928,47.861081,1.595711,0.9417,0.690624,0.7376,0.71435,0.690233,0.670301,0.872107,0.816997,0.793658,0.781339
Beijing,2009/8/15,2.107097,1.4474,1.4381,1.4341,1.4229,0.007348,0.005938,0.005143,0.005675,0.265,0.255,0.548,0.147,3.203,0.507,0.9507,0.9521,0.941,0.742498,0.701658,0.666702,68.840605,1.395065,0.9466,0.647136,0.736635,0.691777,0.650307,0.621717,0.894002,0.840214,0.806947,0.799555
Beijing,2009/9/17,1.835889,1.4677,1.4537,1.4475,1.4359,0.007822,0.005677,0.005125,0.004594,0.238,0.286,0.625,0.166,3.138,0.524,0.9499,0.9519,0.9541,0.739189,0.705042,0.683593,47.808539,1.066321,0.9379,0.675844,0.730978,0.693094,0.66615,0.651768,0.889101,0.828924,0.800834,0.792454
Beijing,2009/9/17,1.883195,1.4632,1.4494,1.4453,1.4366,0.007899,0.005908,0.005585,0.00535,0.245,0.285,0.616,0.164,2.826,0.53,0.9481,0.9482,0.948,0.746221,0.713515,0.690897,23.915392,1.636671,0.9372,0.680904,0.737727,0.701348,0.672729,0.655546,0.884166,0.825876,0.800028,0.792043
Beijing,2009/10/28,1.535127,1.4791,1.4715,1.468,1.4581,0.011352,0.004851,0.005072,0.004832,0.192,0.279,0.618,0.199,2.943,0.533,0.9537,0.9495,0.9495,0.743723,0.710133,0.692271,17.7493,2.526313,0.9086,0.684171,0.729644,0.693221,0.668762,0.653432,0.903233,0.818338,0.794002,0.782597
Beijing,2009/10/28,1.566257,1.4858,1.4747,1.4672,1.4562,0.010216,0.005511,0.00583,0.005933,0.199,0.289,0.626,0.218,3.224,0.418,0.9462,0.9401,0.9364,0.738943,0.707675,0.695234,23.402373,3.281489,0.9135,0.691184,0.724984,0.68914,0.669955,0.659109,0.911497,0.840553,0.819109,0.809837
Beijing,2010/2/8,1.585054,1.463,1.4978,1.5115,1.5152,0.008974,0.003291,0.003337,0.002689,0.188,0.213,0.574,0.224,2.531,0.521,0.9642,0.9616,0.968,0.729282,0.663276,0.638834,18.591301,1.714389,0.9227,0.629631,0.711832,0.635542,0.595359,0.572926,0.877611,0.781803,0.757448,0.743096
Beijing,2010/4/16,2.142918,1.4995,1.4725,1.4686,1.4632,0.008745,0.005427,0.005131,0.003764,0.252,0.28,0.534,0.129,2.909,0.541,0.9601,0.9591,0.9664,0.72053,0.698768,0.666674,87.147989,1.848361,0.9383,0.644753,0.714846,0.691545,0.655886,0.629998,0.883796,0.817296,0.781871,0.757636
Beijing,2010/4/18,2.972011,1.5608,1.5602,1.5499,1.5276,0.007079,0.003332,0.003593,0.002579,0.207,0.211,0.481,0.749,1.833,0.582,0.9581,0.9558,0.9688,0.718463,0.682291,0.67361,21.837987,2.146562,0.9185,0.675031,0.686837,0.638445,0.59172,0.553716,0.794323,0.734517,0.730254,0.729968
Beijing,2010/5/15,1.813659,1.45,1.4433,1.4417,1.4374,0.006666,0.00605,0.005609,0.004543,0.232,0.288,0.566,0.109,3.112,0.551,0.9525,0.9521,0.9587,0.756857,0.712697,0.678995,32.689027,1.877627,0.9508,0.660487,0.752041,0.704867,0.66558,0.640702,0.881819,0.829856,0.805265,0.793918
Beijing,2010/6/3,1.743354,1.4769,1.4551,1.4445,1.4342,0.006944,0.005791,0.005062,0.003807,0.23,0.313,0.583,0.129,3.202,0.579,0.9538,0.9579,0.9652,0.745725,0.72543,0.704741,19.552813,1.720148,0.9446,0.691927,0.739178,0.717461,0.693124,0.675789,0.881424,0.829217,0.803678,0.791621
Beijing,2010/6/4,1.870443,1.4519,1.4558,1.4524,1.4451,0.007459,0.006617,0.005895,0.004628,0.238,0.252,0.577,0.116,3.088,0.536,0.9482,0.9469,0.955,0.739295,0.689106,0.656419,50.719788,1.781986,0.9465,0.638589,0.733647,0.679239,0.640317,0.615752,0.89066,0.836518,0.804781,0.786343
Beijing,2010/6/5,1.938938,1.4523,1.4791,1.4823,1.4747,0.005564,0.003075,0.00229,0.002034,0.233,0.223,0.523,0.129,2.418,0.658,0.9743,0.9781,0.9791,0.737269,0.666833,0.628374,20.444981,4.387792,0.9582,0.612468,0.730741,0.654455,0.603642,0.571461,0.842896,0.770059,0.748883,0.749109
Beijing,2010/6/6,2.582925,1.4568,1.4511,1.4423,1.4331,0.006531,0.006478,0.005794,0.004817,0.334,0.3,0.526,0.164,3.264,0.467,0.9523,0.9527,0.9578,0.747511,0.718297,0.691552,62.618267,1.881914,0.95,0.673022,0.742487,0.711323,0.680901,0.657956,0.89435,0.849385,0.820738,0.8043
Beijing,2010/6/6,2.839458,1.4624,1.46,1.454,1.4494,0.007442,0.007072,0.006902,0.005568,0.348,0.28,0.524,0.213,3.061,0.469,0.947,0.9427,0.9483,0.746517,0.709992,0.678807,59.251216,1.895702,0.9447,0.656828,0.740164,0.700355,0.663397,0.63544,0.893884,0.84637,0.81813,0.795992
Beijing,2010/6/7,2.777049,1.4454,1.4483,1.4437,1.4364,0.008179,0.00723,0.006577,0.005592,0.349,0.282,0.523,0.194,3.201,0.488,0.946,0.9445,0.9473,0.758516,0.713762,0.679664,50.200579,1.87722,0.9409,0.658439,0.752888,0.704821,0.665017,0.637198,0.902051,0.8503,0.820249,0.80329
Beijing,2010/7/28,2.623134,1.5608,1.5162,1.5021,1.4916,0.004572,0.00366,0.003494,0.003223,0.302,0.302,0.509,0.111,2.932,0.597,0.9755,0.9754,0.9761,0.700407,0.698059,0.672176,31.532536,4.269183,0.9659,0.652489,0.696176,0.693814,0.665856,0.643221,0.842268,0.792093,0.76528,0.753278
Beijing,2010/8/8,1.613575,1.4709,1.4707,1.4623,1.4565,0.00555,0.00335,0.002169,0.002013,0.2,0.238,0.578,0.057,3.122,0.637,0.9748,0.9809,0.9809,0.728318,0.673923,0.638151,21.118842,3.381836,0.9624,0.617252,0.72492,0.668086,0.62783,0.601173,0.869114,0.800612,0.770018,0.763869
Beijing,2011/2/7,2.530455,1.4809,1.4949,1.5012,1.5047,0.003563,0.002002,0.002016,0.002017,0.248,0.26,0.61,0.865,2.65,0.489,0.9669,0.9679,0.9689,0.752588,0.715036,0.699541,4.470372,3.956901,0.942,0.692441,0.720282,0.676457,0.64799,0.629264,0.841733,0.77823,0.757333,0.747572
Beijing,2011/5/17,1.993235,1.4298,1.4516,1.4607,1.4606,0.006246,0.003675,0.003549,0.003082,0.217,0.211,0.492,0.388,2.198,0.514,0.9543,0.9536,0.9595,0.756131,0.698779,0.673507,27.674466,2.06236,0.9336,0.664868,0.73632,0.658102,0.599199,0.557363,0.849456,0.790204,0.772295,0.763672
Beijing,2011/10/29,2.354669,1.4602,1.4505,1.4483,1.4439,0.008572,0.004928,0.004844,0.003938,0.3,0.28,0.577,0.166,3.072,0.515,0.9602,0.9577,0.9623,0.745841,0.707076,0.677646,53.211434,0.921344,0.937,0.659941,0.739608,0.698187,0.663626,0.640439,0.89609,0.826309,0.799724,0.783366
Beijing,2012/5/1,2.194661,1.4959,1.5061,1.5079,1.4984,0.00469,0.001801,0.001327,0.001196,0.176,0.19,0.474,0.512,1.789,0.593,0.9759,0.9819,0.9846,0.729682,0.684252,0.670261,9.753147,2.484994,0.9438,0.672562,0.701631,0.625302,0.563294,0.518076,0.796196,0.746342,0.734012,0.734395
Beijing,2013/1/28,2.021153,1.5183,1.4807,1.4743,1.4687,0.012411,0.006193,0.006076,0.006756,0.248,0.296,0.575,0.096,2.899,0.614,0.9564,0.9546,0.9484,0.729905,0.706939,0.680233,30.607627,1.969772,0.9186,0.663117,0.724767,0.701088,0.671443,0.650207,0.894367,0.815435,0.788027,0.781493
Beijing,2013/1/28,2.106533,1.4624,1.446,1.4427,1.4368,0.011592,0.005462,0.005399,0.006995,0.279,0.296,0.579,0.138,3.02,0.581,0.9568,0.9549,0.9405,0.736431,0.706992,0.682408,98.993456,0.823854,0.9172,0.66864,0.730573,0.700149,0.673266,0.655231,0.899122,0.814371,0.778947,0.774915
Beijing,2013/1/28,2.285651,1.4763,1.449,1.4475,1.4454,0.009994,0.003566,0.002573,0.002457,0.304,0.315,0.559,0.087,2.813,0.668,0.9741,0.9808,0.9808,0.748803,0.72568,0.69692,32.205932,4.042908,0.9294,0.677597,0.745162,0.722531,0.692091,0.669683,0.882835,0.793486,0.765493,0.76134
Beijing,2013/3/6,1.673837,1.5494,1.5387,1.5118,1.4785,0.008226,0.003238,0.002983,0.003034,0.122,0.154,0.523,0.581,1.989,0.532,0.9455,0.9522,0.9545,0.703902,0.680159,0.692168,10.114656,2.838439,0.8921,0.710226,0.635262,0.569727,0.532043,0.501511,0.825364,0.753917,0.746231,0.752825
Beijing,2013/3/6,1.762564,1.5509,1.5371,1.5093,1.4761,0.006202,0.001918,0.001563,0.001404,0.118,0.162,0.541,0.682,2.022,0.554,0.9648,0.9731,0.9774,0.714507,0.68802,0.694707,3.796947,2.620524,0.9039,0.710404,0.645367,0.591188,0.553501,0.520432,0.814232,0.743943,0.736895,0.744912
Beijing,2013/3/11,1.543494,1.4026,1.4645,1.4883,1.4781,0.007866,0.00272,0.002365,0.002495,0.217,0.11,0.398,0.713,2.275,0.54,0.9423,0.9521,0.9539,0.695918,0.671125,0.684939,1.858402,2.36512,0.8676,0.706313,0.558198,0.430273,0.38619,0.366949,0.869232,0.783793,0.758069,0.756827
Beijing,2013/3/11,1.832575,1.5082,1.5294,1.5212,1.5006,0.008314,0.002682,0.002161,0.002028,0.152,0.134,0.513,0.746,2.089,0.545,0.9495,0.9606,0.9662,0.706478,0.677809,0.687118,3.169331,1.809205,0.8796,0.701163,0.612114,0.533387,0.50099,0.477844,0.840222,0.754914,0.738749,0.739877
Beijing,2013/3/11,2.126299,1.5182,1.4932,1.4784,1.4588,0.0066,0.002488,0.001984,0.001969,0.156,0.165,0.531,0.735,1.905,0.541,0.9582,0.9683,0.9708,0.721562,0.702916,0.704704,6.111087,2.201732,0.9063,0.714886,0.660362,0.602229,0.557954,0.523165,0.817694,0.762505,0.751205,0.753931
Beijing,2013/3/15,2.294824,1.4577,1.4703,1.4773,1.4772,0.007666,0.00315,0.003472,0.00278,0.244,0.2,0.492,0.376,2.221,0.576,0.9626,0.9558,0.9638,0.726756,0.66806,0.642739,79.572645,3.658961,0.9295,0.633489,0.709009,0.634761,0.579458,0.539418,0.841608,0.763397,0.747601,0.738467
Beijing,2013/4/28,1.816834,1.4624,1.4895,1.5064,1.5112,0.003986,0.001743,0.001346,0.001255,0.185,0.178,0.428,0.29,2.272,0.724,0.9794,0.9825,0.9836,0.722031,0.654941,0.62759,18.293652,4.98149,0.9603,0.621382,0.704603,0.602263,0.525457,0.471725,0.801969,0.758678,0.743167,0.738179
Beijing,2013/5/4,1.630393,1.4624,1.496,1.5098,1.5103,0.004971,0.002912,0.002372,0.002278,0.184,0.186,0.456,0.179,2.472,0.648,0.9706,0.9726,0.9719,0.719089,0.638123,0.600659,17.367982,4.267343,0.9586,0.589864,0.707171,0.607456,0.538761,0.493504,0.827904,0.766739,0.747485,0.74423
Beijing,2013/10/4,1.778054,1.4742,1.4642,1.4628,1.4543,0.006287,0.004221,0.003386,0.003252,0.22,0.267,0.62,0.204,2.913,0.479,0.959,0.9637,0.9635,0.737765,0.701715,0.678144,19.48754,1.118942,0.9448,0.669328,0.726497,0.684956,0.653917,0.636439,0.878789,0.817176,0.786156,0.777191
Beijing,2013/10/4,1.804218,1.4819,1.4627,1.4594,1.45,0.006095,0.004143,0.003363,0.00304,0.218,0.274,0.616,0.207,2.967,0.454,0.9595,0.9636,0.9655,0.735589,0.70212,0.678006,36.215916,1.445873,0.9462,0.668834,0.724807,0.685789,0.653975,0.636478,0.879345,0.820501,0.790312,0.779623
Beijing,2013/10/4,2.005463,1.4778,1.476,1.4774,1.4712,0.008681,0.004475,0.004012,0.002921,0.228,0.227,0.554,0.219,2.55,0.54,0.9575,0.9575,0.9666,0.730223,0.680893,0.652688,31.91695,1.024749,0.9321,0.640041,0.717881,0.660621,0.61802,0.589636,0.873129,0.796219,0.772005,0.75953
Beijing,2013/10/18,2.929605,1.4936,1.4816,1.4816,1.475,0.006883,0.003683,0.002935,0.00274,0.33,0.229,0.531,0.174,2.565,0.626,0.9704,0.974,0.9735,0.721622,0.677193,0.639643,34.585419,3.222381,0.9526,0.618465,0.715324,0.667292,0.620953,0.587314,0.853365,0.781149,0.756219,0.751985
Beijing,2014/5/19,1.557376,1.4828,1.4946,1.5006,1.4912,0.005391,0.002943,0.002461,0.002209,0.132,0.176,0.452,0.42,2.186,0.612,0.957,0.963,0.9667,0.732178,0.682792,0.667909,10.935418,2.022931,0.9331,0.672356,0.697778,0.605432,0.532536,0.481011,0.821613,0.767156,0.748703,0.746464
Beijing,2014/5/21,1.665319,1.4595,1.4618,1.4651,1.4608,0.009293,0.006045,0.004922,0.004397,0.196,0.247,0.566,0.221,2.663,0.603,0.9413,0.9492,0.9523,0.747446,0.703461,0.678382,21.013414,1.108298,0.9214,0.669305,0.733362,0.681677,0.643178,0.618701,0.875934,0.80848,0.78247,0.776058
Beijing,2014/5/22,1.75287,1.4535,1.4598,1.4641,1.4596,0.00901,0.006338,0.005425,0.005165,0.209,0.249,0.561,0.213,2.571,0.579,0.9414,0.9459,0.9464,0.751414,0.70556,0.678495,20.224078,1.027879,0.9253,0.668294,0.738926,0.685708,0.645212,0.619233,0.873709,0.809861,0.785945,0.781224
Beijing,2014/5/22,1.878856,1.4471,1.4487,1.4508,1.4453,0.009299,0.007438,0.005813,0.005001,0.247,0.277,0.617,0.181,2.695,0.511,0.937,0.9447,0.9505,0.752339,0.713458,0.686381,33.736909,0.763518,0.9244,0.674139,0.742685,0.699313,0.666433,0.647581,0.893525,0.83335,0.795283,0.780303
Beijing,2014/6/30,2.103934,1.4682,1.4814,1.4801,1.4701,0.004916,0.002134,0.00156,0.001463,0.275,0.242,0.634,0.109,2.814,0.602,0.9818,0.9857,0.9856,0.722151,0.666748,0.640722,16.11903,4.70565,0.963,0.632143,0.716785,0.658373,0.627528,0.61305,0.857855,0.779766,0.753138,0.750054
Beijing,2014/7/20,1.656508,1.4867,1.4569,1.445,1.4327,0.003759,0.002883,0.002517,0.002454,0.199,0.243,0.577,0.08,3.362,0.535,0.9771,0.9768,0.9747,0.703398,0.67835,0.648929,98.957375,4.199639,0.9721,0.630572,0.699275,0.67173,0.638042,0.613754,0.859935,0.810631,0.780913,0.772369
Beijing,2014/7/27,1.543185,1.4852,1.4633,1.4567,1.4473,0.007517,0.004958,0.003844,0.004071,0.186,0.289,0.52,0.096,3.3,0.507,0.9632,0.9678,0.9635,0.736665,0.709998,0.678672,51.109842,1.291811,0.946,0.659192,0.731266,0.702861,0.66767,0.64266,0.892655,0.831398,0.797235,0.789233
Beijing,2014/8/1,1.877916,1.5167,1.4956,1.4729,1.4548,0.00244,0.002344,0.002313,0.002316,0.266,0.35,0.567,0.056,2.618,0.707,0.9836,0.9842,0.9838,0.702727,0.702756,0.697493,50.390861,4.855922,0.9787,0.691892,0.700006,0.700792,0.695526,0.688446,0.807906,0.759396,0.737463,0.743197
