year,type1,%,type2,%,type3,%
2001,0.0,0.0,0.0,0.0,0.0,0.0
2002,38.0,82.6086956521739,1.0,2.1739130434782608,7.0,15.217391304347826
2003,44.0,89.79591836734694,1.0,2.0408163265306123,4.0,8.16326530612245
2004,54.0,96.42857142857143,2.0,3.5714285714285716,0.0,0.0
2005,37.0,68.51851851851852,10.0,18.51851851851852,7.0,12.962962962962964
2006,58.0,90.625,4.0,6.25,2.0,3.125
2007,41.0,89.1304347826087,2.0,4.3478260869565215,3.0,6.521739130434782
2008,10.0,90.9090909090909,0.0,0.0,1.0,9.090909090909092
2009,13.0,50.0,9.0,34.61538461538461,4.0,15.384615384615385
2010,31.0,64.58333333333333,12.0,25.0,5.0,10.416666666666666
2011,26.0,70.27027027027027,3.0,8.108108108108109,8.0,21.62162162162162
2012,29.0,90.625,1.0,3.125,2.0,6.25